OBJECTID;Name;Park Type;File Number;Parcel Count;Development Status;Map Acres;Address;Zip Code;Alternate Address;LWCF;Park ID;Initial Acquisition;Shape__Area;Shape__Length;City Council District;In Raleigh City Limits;In Raleigh ETJ;CAC;Parks Maintenance District;FEMA Lot;Point - Latitude;Point - Longitude;Open Space Facility Fee Zone;Park Website;GlobalID
1;Windemere Beaver Dam;Neighborhood;N-27;2;Developed;14.7672505274855;1500 Nottingham Rd;27607;NA;Yes;34;1/1/1950 12:00:00 AM;643264.005737305;11375.221312911;D;1;1;Hillsborough-Wade;4;0;35.81211;-78.67235;3;https://raleighnc.gov/places/windemere-beaver-dam-park;c5b2a0cf-6e1d-4611-9e0a-bd8aa9a4f973
2;Walnut Creek Athletic Complex;Metro;METRO-6;9;Developed;104.842962854857;1201 Sunnybrook Rd;27610;NA;No;35;1/1/1955 12:00:00 AM;4566977.73217773;11257.4001087931;C;1;1;Southeast;2;0;35.76046;-78.57935;4;https://raleighnc.gov/places/walnut-creek-athletic-complex;7d31cc76-d639-47b5-91c1-0eef4655814c
3;Thornton Road Property;Community;C-17;2;Undeveloped;130.608385448823;5600 Thornton Rd;27616;6100 Thornton Rd;No;1;10/7/1998 12:00:00 AM;5689324.02722168;13130.1091244739;B;1;1;Forestville;6;0;35.90182;-78.53925;2;;0a65dc63-2754-4a02-b287-fc803cecd8c4
4;Mary Belle Pate;Neighborhood;N-44;1;Developed;2.44747525666874;2640 Sierra Dr;27603;NA;No;2;8/31/2009 12:00:00 AM;106612.448852539;1412.46421795516;D;1;1;Southwest;1;0;35.75202;-78.6801;3;https://raleighnc.gov/places/mary-belle-pate-park;74101e17-353d-46a0-a585-1ef4e148a271
5;Eliza Pool;Neighborhood;N-31;2;Developed;5.88817775721049;1600 Fayetteville St;27603;NA;No;3;2/29/1996 12:00:00 AM;256490.049316406;2730.91631739369;D;1;1;Southwest;1;0;35.75928;-78.64293;3;https://raleighnc.gov/places/eliza-pool-park;d8e77f46-bbce-4a83-92e6-a82f600bfc91
6;Lions;Community;C-7;2;Developed;41.4064391086042;516 Dennis Ave;27604;NA;Yes;4;8/10/1953 12:00:00 AM;1803671.70202637;7578.89260677595;C;1;1;East;2;0;35.797;-78.61428;4;https://raleighnc.gov/places/lions-park;7432e7eb-9d12-447d-90f9-1a5839d2c374
7;Marsh Creek;Community;C-8;6;Developed;142.937593646708;3016 New Hope Rd;27604;NA;Yes;5;4/20/1973 12:00:00 AM;6226386.48449707;15173.5947666697;C;1;1;Northeast;6;0;35.82269;-78.5616;4;https://raleighnc.gov/places/marsh-creek-park;9abdea83-6ceb-4d0e-8040-282a9501189b
8;Optimist;Community;C-9;1;Developed;30.7208295385182;5900 Whittier Dr;27609;NA;Yes;6;1/1/1969 12:00:00 AM;1338204.68798828;7955.38673425405;A;1;1;Midtown;3;0;35.86353;-78.64661;1;https://raleighnc.gov/places/optimist-park;013e7085-5e18-47b6-b1a4-a8d18b733825
9;Bragg Street;Mini;M-1;2;Developed;0.313492648433157;1116 South Person St;27601;NA;No;7;5/23/1968 12:00:00 AM;13655.7944335938;481.801934660698;C;1;1;Central;1;0;35.76603;-78.63595;4;https://raleighnc.gov/places/bragg-street-park;1756430d-6b6a-47ad-a068-8e5c97672d9f
10;Lenoir Street;Mini;M-10;2;Developed;0.315464646079589;626 W Lenoir St;27603;NA;No;8;6/10/1971 12:00:00 AM;13741.6948242188;482.645679349752;D;1;1;Central;5;0;35.77348;-78.64874;3;https://raleighnc.gov/places/lenoir-street-park;021870e3-4312-4a80-a229-de37f189b373
11;Compiegne;Mini;M-11;1;Developed;0.457370584414365;106 Chamberlain St;27607;NA;No;9;;19923.142578125;605.159517657175;D;1;1;Hillsborough-Wade;4;0;35.78814;-78.66617;3;https://raleighnc.gov/places/compiegne-park;94606708-e6c7-499c-ad63-4ebd449f53e0
12;Mordecai Mini Park;Mini;M-12;1;Developed;0.465995528001902;1122 North Blount St;27604;NA;No;10;7/20/1926 12:00:00 AM;20298.8461914063;582.529584916562;C;1;1;Mordecai;5;0;35.79583;-78.63518;4;https://raleighnc.gov/places/mordecai-mini-park;0f29127a-1ec9-4297-b0c1-2be9ea1da2c3
13;Biltmore Hills;Community;C-1;2;Developed;46.6625532281618;2615 Fitzgerald Dr;27610;NA;Yes;11;6/1/1964 12:00:00 AM;2032628.94934082;7067.0009700041;C;1;1;South;1;0;35.7463;-78.62659;4;https://raleighnc.gov/places/biltmore-hills-park;a648a4c4-6d4b-4e17-a99c-0718369a2754
14;Worthdale;Community;C-10;4;Developed;36.1421818974414;1001 Cooper Rd;27610;NA;Yes;12;1/1/1963 12:00:00 AM;1574359.74182129;7150.46077669704;C;1;1;Southeast;2;0;35.76295;-78.58586;4;https://raleighnc.gov/places/worthdale-park;f439d063-a3a4-41f8-9dd8-928ad168cc4f
15;Lake Lynn;Community;C-11;2;Developed;51.9290035358867;7921 Ray Rd;27613;NA;No;13;7/31/1987 12:00:00 AM;2262036.44226074;11236.2054378496;A;1;1;Northwest;3;0;35.8881;-78.69884;1;https://raleighnc.gov/places/lake-lynn-park;ff092ab8-acce-4fb4-a012-4e3f38c3dac7
16;Horseshoe Farm Nature Preserve;Nature Preserve;NP-3;3;Developed;144.826733362175;2900 Horseshoe Farm Rd;27587;NA;No;14;10/20/1994 12:00:00 AM;6308677.73986816;13069.4226690607;B;1;1;Forestville;6;0;35.88453;-78.53638;2;https://raleighnc.gov/places/horseshoe-farm-nature-preserve;2dda7e6c-bd1d-42bb-9f56-8adf423b1c6e
17;Alvis Farm;Community;C-18;7;Undeveloped;99.0514552421959;3603 Tarheel Clubhouse Rd;27604;NA;No;15;2/10/2000 12:00:00 AM;4314698.64990234;14238.3037546807;;0;1;Northeast;6;0;35.8241;-78.53598;4;;40e8118e-5083-406b-9a64-94aa173707a6
18;Oakwood Common;Mini;M-15;1;Developed;0.127291839691234;535 N East St;27604;NA;No;22;4/11/1991 12:00:00 AM;5544.85473632813;315.889816017609;C;1;1;North Central;5;0;35.78787;-78.63214;4;https://raleighnc.gov/places/oakwood-commons-park;f537cbde-5ac4-41e5-baba-fcb5ccba3001
19;Varnell;Mini;M-17;2;Developed;0.442181066512944;2104 Varnell Ave;27612;2108 Varnell Ave;No;23;;19261.4844970703;620.520769452008;E;1;1;Glenwood;4;0;35.83348;-78.67274;1;https://raleighnc.gov/places/varnell-park;c7dbed7e-c443-4b65-81a4-6739ef9977c0
20;John Chavis Memorial Park;Community;C-3;7;Developed;28.8555257377998;505 Martin Luther King Jr Blvd;27601;NA;Yes;16;1/1/1970 12:00:00 AM;1256951.73046875;9329.13714204211;C;1;1;Central;Destination Parks;0;35.7698;-78.63021;4;https://raleighnc.gov/places/john-chavis-memorial-park;8f0d0034-0477-4fd3-84bc-6d175747d768
21;Brookhaven;Neighborhood;N-3;1;Developed;25.7794210701854;5125 Berkeley St;27612;NA;Yes;17;9/6/1973 12:00:00 AM;1122956.0736084;4898.00139699315;E;1;1;Northwest;3;0;35.85407;-78.68569;1;https://raleighnc.gov/places/brookhaven-nature-park;1492f81d-a060-4a88-8b30-819c35fad3a4
22;Durant Nature Preserve;Nature Preserve;NP-2;2;Developed;241.617043715999;8305 Camp Durant Rd;27601;NA;Yes;18;1/1/1979 12:00:00 AM;10524880.5233154;18089.896455253;B;1;1;North;6;0;35.89175;-78.58369;2;https://raleighnc.gov/places/durant-nature-preserve;44ba546c-2cc6-446d-a503-987a499c037c
23;Anderson Point;Community;C-12;3;Developed;89.5682310959923;20 Anderson Point Dr;27610;NA;No;19;7/28/1988 12:00:00 AM;3901607.75378418;11235.2811171543;C;1;1;Southeast;2;0;35.7704;-78.54234;4;https://raleighnc.gov/places/anderson-point-park;f8d48308-fbf6-4bee-afd9-20211fc6b644
24;Quarry Street;Mini;M-13;4;Developed;0.358509345761367;731 Quarry St;27601;NA;No;20;4/30/1971 12:00:00 AM;15616.7297363281;507.179118413253;C;1;1;South Central;5;0;35.76899;-78.62323;4;https://raleighnc.gov/places/quarry-street-park;fe683784-de18-4038-9bc6-0e74e67ea8a1
25;Spring;Mini;M-14;1;Developed;0.366444359504459;1422 Collegeview Ave;27606;NA;No;21;;15962.3800048828;495.923078599789;D;1;1;West;1;0;35.77831;-78.68605;3;https://raleighnc.gov/places/spring-park;a1ac5996-4ed9-40b7-b17b-95b66da2f365
26;Junious N. Sorrell;Mini;M-18;4;Developed;0.301541861086661;416 E Lee St;27601;NA;No;24;1/8/1982 12:00:00 AM;13135.2158203125;464.634594298169;C;1;1;Central;1;0;35.76677;-78.6332;4;https://raleighnc.gov/places/junious-n-sorrell-park;c09811b1-e422-4344-9c5a-fd12f318609e
27;Caraleigh;Mini;M-2;1;Developed;0.551328358778543;110 Maywood Ave;27603;NA;No;25;8/12/1970 12:00:00 AM;24015.9594726563;652.602369669865;D;1;1;Southwest;1;0;35.76111;-78.64622;3;https://raleighnc.gov/places/caraleigh-park;f8c998c7-1b2e-4b02-a641-7f7458c62998
28;Davie Street;Mini;M-4;3;Developed;0.96581385973425;908 East Davie St;27601;NA;No;26;5/18/1949 12:00:00 AM;42071.0200195313;894.961723232656;C;1;1;South Central;5;0;35.77497;-78.62437;4;https://raleighnc.gov/places/davie-street-park;8c474f76-dfce-4297-8e45-04b46dbb3aff
29;Fisher Street;Mini;M-5;1;Developed;0.273580716682089;324 N Fisher St;27610;328 N Fisher St;No;27;5/26/1969 12:00:00 AM;11322.8131103516;428.713503178852;C;1;1;North Central;2;0;35.7836;-78.6145;4;https://raleighnc.gov/places/fisher-street-park;8e68e1f1-9504-41c0-84c4-7a9fd585ae63
30;LeVelle Moton;Mini;M-9;3;Developed;0.572474145632959;920 E Lane St;27601;213 Idlewild Ave;No;28;8/21/1969 12:00:00 AM;24584.3918457031;772.32652806385;C;1;1;North Central;5;0;35.78316;-78.62606;4;https://raleighnc.gov/places/lane-street-park;1666c583-761e-44fa-a099-8d83952a30ea
31;Shelley Lake - Sertoma;Metro;METRO-4;3;Developed;144.820103569085;1400 W Millbrook Rd;27612;NA;Yes;29;1/1/1972 12:00:00 AM;6308388.94555664;20853.8323942268;A;1;1;North;3;0;35.85847;-78.66117;1;https://raleighnc.gov/places/shelley-lake-park;bf01eabc-2829-4119-bc90-ca36098aea11
32;Strickland;Neighborhood;N-32;1;Developed;36.0987353688465;12804 Strickland Rd;27613;NA;No;30;1/6/1998 12:00:00 AM;1572467.20300293;5199.10292141573;E;1;1;Northwest;3;0;35.90982;-78.71459;1;https://raleighnc.gov/places/strickland-road-neighborhood-park;5e935c76-c1bc-49b1-8c3e-04ce3f11f001
33;Isabella Cannon;Neighborhood;N-34;1;Developed;3.52617729008228;2601 Kilgore Ave;27607;NA;No;31;11/21/1937 12:00:00 AM;153600.897216797;2179.17982375544;D;1;1;Hillsborough-Wade;4;0;35.79245;-78.66947;3;https://raleighnc.gov/places/isabella-cannon-park;f1a4a98e-2dd6-4d41-838a-b94be3e81ae9
35;Sanderford Road;Neighborhood;N-17;1;Developed;23.4770063727929;2623 Sanderford Rd;27610;NA;Yes;33;4/3/1970 12:00:00 AM;1022662.48791504;5328.80791022847;C;1;1;South;1;0;35.74319;-78.61128;4;https://raleighnc.gov/places/sanderford-road-park;da7a4132-b91f-4c45-b971-eda57904826b
36;FEMA HMGP Phase 1 - 2;Open Space;OS-41;2;Undeveloped;1.06572468499647;3824 Quail Hollow Dr;27609;3828 Quail Hollow Dr;No;98;1/7/1999 12:00:00 AM;46423.1533203125;844.587039801031;A;1;1;Midtown;Not Assigned;1;35.8352;-78.62495;2;;4dcb92b3-9dc9-47c3-ab2c-ade8a604cef9
37;Claremont;Open Space;OS-42;1;Undeveloped;11.5165758315484;2825 Anderson Dr;27609;NA;No;99;9/1/1949 12:00:00 AM;501664.049682617;4181.13486630471;E;1;1;Glenwood;4;0;35.8237;-78.63696;2;;a52d425e-07be-45a5-b6a8-13b0e55ab196
38;Pender Street Park;Open Space;OS-43;1;Developed;0.0875026789232918;1600 Pender St;27610;NA;No;100;1/1/1964 12:00:00 AM;3811.63195800781;270.800994199678;C;1;1;North Central;2;0;35.78226;-78.61564;4;https://raleighnc.gov/places/carver-park;affd4161-41eb-416f-8609-808851fccec3
39;Pasquotank & Granville;Open Space;OS-68;1;Undeveloped;0.467329724027511;3280 Granville Dr;27609;NA;No;101;;20356.9638671875;671.865584052885;E;1;1;Glenwood;Not Assigned;0;35.82759;-78.65934;1;;5edc9ade-3b19-41cb-b1c5-5fe245cb6bd8
40;Parnell;Open Space;OS-8;1;Undeveloped;5.59099635284066;430 Parnell Dr;27610;NA;No;102;2/28/1995 12:00:00 AM;243544.775512695;2303.69821841891;C;1;1;Southeast;Not Assigned;0;35.7748;-78.61123;4;;e89136f8-b2a1-46e7-9e1f-fbc838232265
41;Cowper Drive Median;Open Space;OS-9;1;Undeveloped;3.85560118619233;820 Holt Dr;27608;NA;No;103;12/31/1981 12:00:00 AM;167950.659545898;4663.95611858331;E;1;1;Five Points;4;0;35.80285;-78.64855;3;;5f4321bc-b054-41b7-a8f6-5a29822f52d4
42;Center for the Performing Arts;Special;SP-12;3;Developed;9.71802425280716;2 E South St;27601;NA;No;105;12/12/1984 12:00:00 AM;423318.829589844;4841.83711429389;D;1;1;Central;5;0;35.77132;-78.63959;4;;b925b7b8-04f0-43b6-8bc4-f67ca5ea964a
43;Martin L King Jr Memorial;Special;SP-11;3;Developed;2.41950347025698;900 Rock Quarry Rd;27601;NA;No;106;1/7/1991 12:00:00 AM;105393.99230957;1863.81200773246;C;1;1;South Central;2;0;35.76812;-78.61801;4;https://raleighnc.gov/places/dr-martin-luther-king-jr-memorial-gardens;d004b847-7211-4eef-af54-657b0f3a0100
44;Edna Metz Wells;Special;SP-14;1;Developed;2.94403943776753;1600 Park Dr;27610;NA;No;107;;128242.870849609;1683.52443261068;D;1;1;Hillsborough-Wade;4;0;35.78822;-78.65533;3;https://raleighnc.gov/places/edna-metz-wells-park;ef88e93d-e6fa-49df-8af2-8170355c51a3
45;City Cemetery;Special;SP-8;1;Developed;7.42767077204662;17 S East St;27601;NA;No;108;;323550.633300781;2676.22277779522;C;1;1;South Central;Not Assigned;0;35.77896;-78.63113;4;;90383737-88e9-432d-aecd-f1a992ad6161
46;FEMA HMGP Phase 1 - 6;Open Space;OS-52;1;Undeveloped;0.464371193727976;517 Oakland Dr;27609;NA;No;109;12/3/1999 12:00:00 AM;20228.0902099609;593.368773096131;E;1;1;Midtown;Not Assigned;1;35.82586;-78.62904;2;;58a9235e-1601-4033-a26c-307c3e637102
47;Nash Square;Special;SP-5;1;Developed;4.07721123141631;200 South McDowell St;27601;NA;No;110;;177604.031860352;1685.34666256661;D;1;1;Central;5;0;35.77773;-78.64268;4;;fd46ef3d-3161-43ea-aa30-5b2a752ebbe1
48;Lockwood;Special;SP-42;1;Developed;3.83004867983864;1000 Crabtree Blvd;27610;NA;No;111;12/27/1978 12:00:00 AM;166837.587890625;1791.68447456326;C;1;1;East;2;0;35.79525;-78.59824;4;https://raleighnc.gov/places/lockwood-park;6c60d66d-91ef-454c-8560-80cc8356273e
49;Longstreet;Special;SP-43;1;Developed;0.236087211605959;7334 Stuart Dr;27615;NA;No;112;7/16/1974 12:00:00 AM;10284.0002441406;436.983488497406;A;1;1;North;3;0;35.87597;-78.65047;1;https://raleighnc.gov/places/longstreet-park;1e041184-3147-40ae-80b0-bca955208ba2
50;Dacian;Special;SP-44;1;Developed;0.714459314461288;566 Dacian Rd;27610;NA;No;113;7/3/1975 12:00:00 AM;31121.9721679688;740.780532135864;C;1;1;Southeast;2;0;35.76214;-78.6015;4;https://raleighnc.gov/places/dacian-road-park;e18aaa3e-47c4-49d1-9af9-bf2d0137491d
51;Dixon;Special;SP-45;1;Developed;1.65654113080562;6100 Dixon Dr;27609;NA;No;114;7/21/1972 12:00:00 AM;72159.2203369141;1287.50770398684;A;1;1;Midtown;3;0;35.86324;-78.65146;1;https://raleighnc.gov/places/dixon-drive-park;6744230b-8eea-4ee6-832a-aa2aace74e58
52;Rose Garden & Raleigh Little Theatre;Special;SP-6;1;Developed;6.80520601297175;301 Pogue St;27607;NA;No;115;;296435.366699219;2429.67862545515;D;1;1;Hillsborough-Wade;Destination Parks;0;35.79144;-78.66883;3;http://www.raleighlittletheatre.org/;cb22bebb-78c4-45b2-9de9-2bc96fa905eb
53;Vallie Henderson;Special;SP-7;1;Developed;0.0961112854260207;314 Linden Ave;27601;NA;No;116;11/13/1979 12:00:00 AM;4244.501953125;284.672039319418;C;1;1;North Central;5;0;35.78449;-78.62905;4;https://raleighnc.gov/places/vallie-henderson-park;535f43d1-fa0c-4c08-a432-cfc8a6ed1e9e
54;Erinsbrook Drive Property;Neighborhood;N-38;1;Undeveloped;13.3233461644169;11921 Leesville Rd;27613;NA;No;117;6/30/2003 12:00:00 AM;580367.280395508;3894.16165758032;E;1;1;Northwest;3;0;35.91772;-78.74961;1;;048a19e7-1108-4bf7-b75b-79875dc69222
55;Southgate;Neighborhood;N-18;1;Developed;8.84180130981722;1801 Proctor Rd;27610;NA;Yes;118;3/26/1971 12:00:00 AM;385150.40612793;4582.67240804479;C;1;1;South;1;0;35.75566;-78.60731;4;https://raleighnc.gov/places/southgate-park;432f2d18-d474-4746-a1f5-1301e6a099d4
56;Hill Street;Neighborhood;N-19;1;Developed;16.583974184631;2307 Hill St;27604;NA;Yes;119;7/17/1973 12:00:00 AM;722400.80480957;4243.15091512469;C;1;1;Northeast;6;0;35.81315;-78.59088;4;https://raleighnc.gov/places/hill-street-park;087f528e-28b5-41d1-85c5-06c91b453a25
57;Longview Lake;Open Space;OS-25;1;Undeveloped;0.873899325511982;100 Longview Lake Dr;27610;NA;No;120;7/30/1965 12:00:00 AM;38067.2069091797;1123.75625139973;C;1;1;East;Not Assigned;0;35.78146;-78.59624;4;;b12f4f35-cb51-4f40-8477-3898c7f34ef5
58;Marshall;Open Space;OS-27;3;Undeveloped;1.53580102040408;1116 Marshall St;27604;NA;No;121;;66899.7602539063;2673.84694974112;C;1;1;Mordecai;5;0;35.79739;-78.63432;4;https://raleighnc.gov/places/marshall-memorial-park;1031f890-d517-42c4-92e5-c31d08b6d480
59;Lt. Col. George F. Marshall Memorial Park;Special;SP-46;1;Developed;5.88696132942808;3970 Blue Ridge Rd;27612;NA;No;122;12/16/2011 12:00:00 AM;256437.061401367;2820.4073330723;E;1;1;Glenwood;Not Assigned;0;35.83311;-78.67719;1;;aa5931f7-4b55-46f4-bfd4-12aca80c4da8
60;Mayview;Open Space;OS-28;1;Developed;0.518835107167277;2710 North Mayview Rd;27607;NA;No;123;;22600.5476074219;714.701776975764;D;1;1;Hillsborough-Wade;4;0;35.79755;-78.67053;3;;c50bd4dd-f820-4df3-81b9-e2cdefa66efa
61;Meadowbrook;Open Space;OS-29;4;Developed;1.20085636426441;614 Frank St;27604;NA;No;124;10/29/1956 12:00:00 AM;52309.5124511719;1974.57355253552;C;1;1;Mordecai;2;0;35.79584;-78.62497;4;;221f7ecf-c201-429d-a956-a831be6c2029
62;Barmettler;Open Space;OS-3;1;Undeveloped;1.17944383521037;2816 Barmettler St;27607;NA;No;125;2/1/1974 12:00:00 AM;51376.7789306641;1149.76253507563;D;1;1;Hillsborough-Wade;4;0;35.79913;-78.67391;3;;a7f199df-0174-4781-a8d1-85399e44870b
63;Walnut Creek South;Metro;METRO-7;10;Developed;201.973308939399;1201 Sunnybrook Rd;27610;NA;No;36;1/1/1984 12:00:00 AM;8797992.52929688;17450.7743114682;C;1;1;South;2;0;35.75033;-78.57815;4;;0e8d42c5-d464-4ff3-9917-aebd46d8f686
64;Apollo Heights;Neighborhood;N-1;1;Developed;4.26161792857259;756 Lunar Dr;27610;NA;No;37;4/5/1985 12:00:00 AM;185636.819580078;2578.50157293689;C;1;1;Southeast;2;0;35.76471;-78.6091;4;https://raleighnc.gov/places/apollo-heights-park;11bdd2f7-8d9d-4777-b9cf-1793cfcfc4dd
65;Kiwanis;Neighborhood;N-10;1;Developed;26.742912912511;2525 Noble Rd;27608;NA;No;38;2/4/1955 12:00:00 AM;1164925.94641113;4999.50301341529;E;1;1;Five Points;4;0;35.81726;-78.63152;2;https://raleighnc.gov/places/kiwanis-park;8331d711-d13c-4890-90a0-9144bcefc066
